FORMULA,CONDITION: Temperature (K),PROPERTY: Heat Capacity (J/mol K)
Al2Be1O4,900.0,170.87
Al2Be1O4,800.0,166.83
Al2Be1O4,700.0,161.75
Al2Be1O4,600.0,154.97
Al2Be1O4,500.0,145.25
Al2Be1O4,400.0,130.28
Al2Be1O4,300.0,105.94
Al2Be1O4,298.0,105.38
B2H4O4,1400.0,258.99
B2H4O4,1300.0,253.801
B2H4O4,1200.0,247.442
B2H4O4,1100.0,239.99400000000003
B2H4O4,1000.0,231.333
B2H4O4,900.0,221.459
B2H4O4,800.0,210.41299999999998
B2H4O4,700.0,197.025
B2H4O4,600.0,181.71099999999998
B2H4O4,500.0,163.762
B2H4O4,400.0,143.135
B2H4O4,300.0,116.775
B2H4O4,298.0,116.19
B2Mg1,1900.0,92.242
B2Mg1,1800.0,90.249
B2Mg1,1700.0,88.162
B2Mg1,1600.0,85.98100000000001
B2Mg1,1500.0,83.64299999999999
B2Mg1,1400.0,81.17
B2Mg1,1300.0,78.795
B2Mg1,1200.0,76.442
B2Mg1,1100.0,74.078
B2Mg1,1000.0,71.714
B2Mg1,900.0,69.16199999999999
B2Mg1,800.0,66.52600000000001
B2Mg1,700.0,64.015
B2Mg1,600.0,61.379
B2Mg1,500.0,58.409
B2Mg1,400.0,54.391999999999996
B2Mg1,300.0,47.865
B2Mg1,298.0,47.823
Be1F2,1200.0,87.529
Be1F2,1100.0,84.182
Be1F2,1000.0,80.835
Be1F2,900.0,77.488
Be1F2,825.0,74.977
Be1F2,800.0,74.14
Be1F2,700.0,70.793
Be1F2,600.0,67.446
Be1F2,500.0,76.048
Be1F2,500.0,76.048
Be1F2,500.0,64.09899999999999
Be1F2,400.0,62.522
Be1F2,300.0,52.028
Be1F2,298.0,51.818999999999996
B1H4Na1,1900.0,133.679
B1H4Na1,1800.0,133.553
B1H4Na1,1700.0,133.511
B1H4Na1,1600.0,133.428
B1H4Na1,1500.0,133.30200000000002
B1H4Na1,1400.0,133.135
B1H4Na1,1300.0,132.675
B1H4Na1,1200.0,131.754
B1H4Na1,1100.0,130.039
B1H4Na1,1000.0,127.445
B1H4Na1,900.0,124.265
B1H4Na1,800.0,120.24799999999999
B1H4Na1,700.0,115.26899999999999
B1H4Na1,600.0,108.617
B1H4Na1,500.0,101.79700000000001
B1H4Na1,400.0,94.55799999999999
B1H4Na1,300.0,86.64200000000001
B1H4Na1,298.0,86.48299999999999
Br2Ca1,1400.0,103.387
Br2Ca1,1300.0,99.412
Br2Ca1,1200.0,95.56299999999999
Br2Ca1,1100.0,91.92200000000001
Br2Ca1,1015.0,89.036
Br2Ca1,1000.0,88.617
Br2Ca1,900.0,85.85600000000001
Br2Ca1,800.0,83.471
Br2Ca1,700.0,81.63
Br2Ca1,600.0,80.5
Br2Ca1,500.0,79.454
Br2Ca1,400.0,77.99
Br2Ca1,300.0,75.124
Br2Ca1,298.0,75.04
Al1N1,2900.0,51.845
Al1N1,2800.0,51.806999999999995
Al1N1,2700.0,51.765
Al1N1,2600.0,51.718
Al1N1,2500.0,51.666000000000004
Al1N1,2400.0,51.608999999999995
Al1N1,2300.0,51.543
Al1N1,2200.0,51.468999999999994
Al1N1,2100.0,51.385
Al1N1,2000.0,51.29
Al1N1,1900.0,51.18
Al1N1,1800.0,51.052
Al1N1,1700.0,50.903
Al1N1,1600.0,50.728
Al1N1,1500.0,50.521
Al1N1,1400.0,50.272
Al1N1,1300.0,49.97
Al1N1,1200.0,49.598
Al1N1,1100.0,49.136
Al1N1,1000.0,48.55
Al1N1,900.0,47.792
Al1N1,800.0,46.791000000000004
Al1N1,700.0,45.434
Al1N1,600.0,43.538000000000004
Al1N1,500.0,40.799
Al1N1,400.0,36.692
Al1N1,300.0,30.254
Al1N1,298.0,30.096999999999998
Al1Cl6Na3,298.0,244.136
Al1Cl6Na3,1900.0,334.825
Al1Cl6Na3,1800.0,332.21
Al1Cl6Na3,1700.0,329.385
Al1Cl6Na3,1600.0,326.35200000000003
Al1Cl6Na3,1500.0,322.796
Al1Cl6Na3,1400.0,318.82099999999997
Al1Cl6Na3,1300.0,314.741
Al1Cl6Na3,1200.0,310.453
Al1Cl6Na3,1100.0,305.72
Al1Cl6Na3,1000.0,300.62
Al1Cl6Na3,900.0,294.972
Al1Cl6Na3,800.0,288.69599999999997
Al1Cl6Na3,700.0,281.165
Al1Cl6Na3,600.0,273.006
Al1Cl6Na3,500.0,264.01
Al1Cl6Na3,400.0,254.387
Al1Cl6Na3,300.0,244.513
Ba1H2O2,900.0,134.892
Ba1H2O2,800.0,130.834
Ba1H2O2,700.0,126.775
Ba1H2O2,681.15,126.022
Ba1H2O2,600.0,122.71700000000001
Ba1H2O2,500.0,118.65799999999999
Ba1H2O2,400.0,112.633
Ba1H2O2,300.0,101.79700000000001
Ba1H2O2,298.0,101.62899999999999
Al1Br3,298.0,100.57799999999999
Al1Br3,1400.0,124.934
Al1Br3,1300.0,124.851
Al1Br3,1200.0,124.76700000000001
Al1Br3,1100.0,124.68299999999999
Al1Br3,1000.0,124.6
Al1Br3,900.0,124.516
Al1Br3,800.0,124.432
Al1Br3,700.0,124.348
Al1Br3,600.0,124.265
Al1Br3,500.0,123.846
Al1Br3,400.0,117.78
Al1Br3,370.6,113.07799999999999
Al1Br3,300.0,100.816
Br3Zr1,1900.0,106.566
Br3Zr1,1800.0,106.525
Br3Zr1,1700.0,106.48299999999999
Br3Zr1,1600.0,106.441
Br3Zr1,1500.0,106.399
Br3Zr1,1400.0,106.35700000000001
Br3Zr1,1300.0,106.315
Br3Zr1,1200.0,106.23200000000001
Br3Zr1,1100.0,106.148
Br3Zr1,1000.0,106.064
Br3Zr1,900.0,105.855
Br3Zr1,800.0,105.43700000000001
Br3Zr1,700.0,105.01799999999999
Br3Zr1,600.0,104.6
Br3Zr1,500.0,103.76299999999999
Br3Zr1,400.0,102.508
Br3Zr1,300.0,99.56200000000001
Br3Zr1,298.0,99.48299999999999
Br2Ti1,1400.0,91.32
Br2Ti1,1300.0,90.17399999999999
Br2Ti1,1200.0,89.027
Br2Ti1,1100.0,87.881
Br2Ti1,1000.0,86.734
Br2Ti1,900.0,85.588
Br2Ti1,800.0,84.441
Br2Ti1,700.0,83.295
Br2Ti1,600.0,82.149
Br2Ti1,500.0,81.002
Br2Ti1,400.0,79.85600000000001
Br2Ti1,300.0,78.709
Br2Ti1,298.0,78.688
B1Ti1,3900.0,55.94
B1Ti1,3800.0,55.806000000000004
B1Ti1,3700.0,55.672
B1Ti1,3600.0,55.538000000000004
B1Ti1,3500.0,55.405
B1Ti1,3400.0,55.271
B1Ti1,3300.0,55.137
B1Ti1,3200.0,55.003
B1Ti1,3100.0,54.869
B1Ti1,3000.0,54.735
B1Ti1,2900.0,54.601000000000006
B1Ti1,2800.0,54.467
B1Ti1,2700.0,54.333
B1Ti1,2600.0,54.2
B1Ti1,2500.0,54.066
B1Ti1,2400.0,53.931999999999995
B1Ti1,2300.0,53.798
B1Ti1,2200.0,53.663999999999994
B1Ti1,2100.0,53.53
B1Ti1,2000.0,53.396
B1Ti1,1900.0,53.262
B1Ti1,1800.0,53.128
B1Ti1,1700.0,52.995
B1Ti1,1600.0,52.861000000000004
B1Ti1,1500.0,52.727
B1Ti1,1400.0,52.593
B1Ti1,1300.0,52.458999999999996
B1Ti1,1200.0,52.325
B1Ti1,1100.0,52.191
B1Ti1,1000.0,51.915
B1Ti1,900.0,51.488
B1Ti1,800.0,50.911
B1Ti1,700.0,50.123999999999995
B1Ti1,600.0,48.568000000000005
B1Ti1,500.0,45.714
B1Ti1,400.0,40.334
B1Ti1,300.0,29.916
B1Ti1,298.0,29.673000000000002
Be2O4Si1,2900.0,194.58900000000003
Be2O4Si1,2800.0,193.702
Be2O4Si1,2700.0,192.815
Be2O4Si1,2600.0,191.928
Be2O4Si1,2500.0,191.041
Be2O4Si1,2400.0,190.15400000000002
Be2O4Si1,2300.0,189.267
Be2O4Si1,2200.0,188.38
Be2O4Si1,2100.0,187.493
Be2O4Si1,2000.0,186.606
Be2O4Si1,1900.0,185.68599999999998
Be2O4Si1,1800.0,184.74900000000002
Be2O4Si1,1700.0,183.803
Be2O4Si1,1600.0,182.84900000000002
Be2O4Si1,1500.0,181.887
Be2O4Si1,1400.0,180.916
Be2O4Si1,1300.0,179.636
Be2O4Si1,1200.0,178.197
Be2O4Si1,1100.0,176.356
Be2O4Si1,1000.0,174.054
Be2O4Si1,900.0,170.74900000000002
Be2O4Si1,800.0,166.021
Be2O4Si1,700.0,158.866
Be2O4Si1,600.0,149.16
Be2O4Si1,500.0,136.942
Be2O4Si1,400.0,120.75
Be2O4Si1,300.0,96.098
Be2O4Si1,298.0,95.56299999999999
Br2Pb1,900.0,101.62100000000001
Br2Pb1,800.0,97.34100000000001
Br2Pb1,700.0,93.061
Br2Pb1,600.0,88.78399999999999
Br2Pb1,500.0,84.684
Br2Pb1,400.0,81.253
Br2Pb1,300.0,79.613
Br2Pb1,298.0,79.578
Al1,298.0,24.209
Al1,1100.0,36.722
Al1,1000.0,34.358000000000004
Al1,933.45,32.959
Al1,900.0,32.308
Al1,800.0,30.561999999999998
Al1,700.0,29.1
Al1,600.0,27.886
Al1,500.0,26.842
Al1,450.0,26.335
Al1,400.0,25.784000000000002
Al1,350.0,25.113000000000003
Al1,300.0,24.247
Br2Hg2,1400.0,125.14299999999999
Br2Hg2,1300.0,124.209
Br2Hg2,1200.0,123.47
Br2Hg2,1100.0,122.539
Br2Hg2,1000.0,121.545
Br2Hg2,900.0,120.416
Br2Hg2,800.0,119.118
Br2Hg2,700.0,117.529
Br2Hg2,600.0,115.604
Br2Hg2,500.0,113.052
Br2Hg2,400.0,109.62100000000001
Br2Hg2,300.0,104.70299999999999
Br2Hg2,298.0,104.6
B1H3O3,298.0,81.337
B1H3O3,1400.0,181.27900000000002
B1H3O3,1300.0,177.653
B1H3O3,1200.0,173.218
B1H3O3,1100.0,167.97400000000002
B1H3O3,1000.0,161.921
B1H3O3,900.0,155.017
B1H3O3,800.0,147.27700000000002
B1H3O3,700.0,137.915
B1H3O3,600.0,127.194
B1H3O3,500.0,114.64200000000001
B1H3O3,400.0,100.20700000000001
B1H3O3,300.0,81.755
Br3Ti1,1400.0,172.015
Br3Ti1,1300.0,168.755
Br3Ti1,1200.0,165.111
Br3Ti1,1100.0,161.084
Br3Ti1,1000.0,156.673
Br3Ti1,900.0,151.879
Br3Ti1,800.0,147.27700000000002
Br3Ti1,700.0,137.21
Br3Ti1,600.0,125.507
Br3Ti1,500.0,114.709
Br3Ti1,400.0,105.818
Br3Ti1,300.0,101.77600000000001
Br3Ti1,298.0,101.705
C1Cu1N1,900.0,80.249
C1Cu1N1,800.0,78.032
C1Cu1N1,700.0,75.689
C1Cu1N1,600.0,73.13600000000001
C1Cu1N1,500.0,70.249
C1Cu1N1,400.0,66.735
C1Cu1N1,300.0,62.195
C1Cu1N1,298.0,61.023999999999994
B1,298.0,11.315
B1,2700.0,31.778000000000002
B1,2600.0,31.456999999999997
B1,2500.0,31.133000000000003
B1,2400.0,30.805999999999997
B1,2350.0,30.641
B1,2300.0,30.475
B1,2200.0,30.14
B1,2100.0,29.799
B1,2000.0,29.451999999999998
B1,1900.0,29.096999999999998
B1,1800.0,28.732
B1,1700.0,28.355999999999998
B1,1600.0,27.965999999999998
B1,1500.0,27.557
B1,1400.0,27.125
B1,1300.0,26.663
B1,1200.0,26.160999999999998
B1,1100.0,25.605999999999998
B1,1000.0,24.978
B1,900.0,24.245
B1,800.0,23.361
B1,700.0,22.249000000000002
B1,600.0,20.778000000000002
B1,500.0,18.722
B1,450.0,17.361
B1,400.0,15.693
B1,350.0,13.654000000000002
B1,300.0,11.405
Al1F6Na3,298.0,215.727
Al1F6Na3,1100.0,332.461
Al1F6Na3,1000.0,318.582
Al1F6Na3,900.0,304.691
Al1F6Na3,836.0,295.809
Al1F6Na3,800.0,290.78
Al1F6Na3,700.0,276.822
Al1F6Na3,600.0,262.793
Al1F6Na3,500.0,248.63400000000001
Al1F6Na3,400.0,236.37900000000002
Al1F6Na3,300.0,216.21200000000002
Ca1H2O2,900.0,116.022
Ca1H2O2,800.0,113.512
Ca1H2O2,700.0,110.709
Ca1H2O2,600.0,107.445
Ca1H2O2,500.0,103.931
Ca1H2O2,400.0,98.40799999999999
Ca1H2O2,300.0,87.78
Ca1H2O2,298.0,87.48700000000001
B2Be3O6,298.0,139.746
B2Be3O6,2900.0,332.754
B2Be3O6,2800.0,330.829
B2Be3O6,2700.0,328.904
B2Be3O6,2600.0,327.105
B2Be3O6,2500.0,325.18
B2Be3O6,2400.0,323.423
B2Be3O6,2300.0,321.582
B2Be3O6,2200.0,319.658
B2Be3O6,2100.0,317.649
B2Be3O6,2000.0,315.474
B2Be3O6,1900.0,313.382
B2Be3O6,1800.0,311.20599999999996
B2Be3O6,1700.0,308.905
B2Be3O6,1600.0,306.72900000000004
B2Be3O6,1500.0,304.553
B2Be3O6,1400.0,302.21
B2Be3O6,1300.0,299.574
B2Be3O6,1200.0,296.395
B2Be3O6,1100.0,292.211
B2Be3O6,1000.0,286.269
B2Be3O6,900.0,277.567
B2Be3O6,800.0,264.805
B2Be3O6,700.0,247.567
B2Be3O6,600.0,226.605
B2Be3O6,500.0,202.84
B2Be3O6,400.0,175.017
B2Be3O6,300.0,140.415
Al1Cl4Na1,298.0,154.975
Al1Cl4Na1,900.0,197.27599999999998
Al1Cl4Na1,800.0,193.51
Al1Cl4Na1,700.0,189.11700000000002
Al1Cl4Na1,600.0,182.422
Al1Cl4Na1,500.0,174.054
Al1Cl4Na1,400.0,164.808
Al1Cl4Na1,300.0,154.808
Al1Cl6K3,298.0,248.90599999999998
Al1Cl6K3,1900.0,341.36199999999997
Al1Cl6K3,1800.0,339.32199999999995
Al1Cl6K3,1700.0,336.969
Al1Cl6K3,1600.0,334.30199999999996
Al1Cl6K3,1500.0,331.32
Al1Cl6K3,1400.0,328.026
Al1Cl6K3,1300.0,324.103
Al1Cl6K3,1200.0,319.658
Al1Cl6K3,1100.0,314.532
Al1Cl6K3,1000.0,308.779
Al1Cl6K3,900.0,302.88
Al1Cl6K3,800.0,295.809
Al1Cl6K3,700.0,287.85900000000004
Al1Cl6K3,600.0,279.491
Al1Cl6K3,500.0,269.659
Al1Cl6K3,400.0,259.157
Al1Cl6K3,300.0,249.283
C0.98Nb1,2900.0,62.174
C0.98Nb1,2800.0,61.672
C0.98Nb1,2700.0,61.17
C0.98Nb1,2600.0,60.668
C0.98Nb1,2500.0,60.166000000000004
C0.98Nb1,2400.0,59.663999999999994
C0.98Nb1,2300.0,59.162
C0.98Nb1,2200.0,58.66
C0.98Nb1,2100.0,58.158
C0.98Nb1,2000.0,57.656000000000006
C0.98Nb1,1900.0,57.153
C0.98Nb1,1800.0,56.651
C0.98Nb1,1700.0,56.13399999999999
C0.98Nb1,1600.0,55.605
C0.98Nb1,1500.0,55.06100000000001
C0.98Nb1,1400.0,54.504
C0.98Nb1,1300.0,53.931999999999995
C0.98Nb1,1200.0,53.303999999999995
C0.98Nb1,1100.0,52.635
C0.98Nb1,1000.0,51.923
C0.98Nb1,900.0,51.086999999999996
C0.98Nb1,800.0,50.123999999999995
C0.98Nb1,700.0,48.911
C0.98Nb1,600.0,47.363
C0.98Nb1,500.0,45.145
C0.98Nb1,400.0,41.882
C0.98Nb1,300.0,36.38
C0.98Nb1,298.0,36.233000000000004
Br2Hg1,1400.0,107.587
Br2Hg1,1300.0,104.65899999999999
Br2Hg1,1200.0,101.73
Br2Hg1,1100.0,98.801
Br2Hg1,1000.0,95.87200000000001
Br2Hg1,900.0,92.943
Br2Hg1,800.0,90.015
Br2Hg1,700.0,87.086
Br2Hg1,600.0,84.15700000000001
Br2Hg1,500.0,81.206
Br2Hg1,400.0,78.321
Br2Hg1,300.0,75.366
Br2Hg1,298.0,75.312
Al1Cl1O1,298.0,56.902
Al1Cl1O1,2900.0,83.052
Al1Cl1O1,2800.0,83.052
Al1Cl1O1,2700.0,83.052
Al1Cl1O1,2600.0,83.052
Al1Cl1O1,2500.0,83.052
Al1Cl1O1,2400.0,83.052
Al1Cl1O1,2300.0,83.036
Al1Cl1O1,2200.0,83.01100000000001
Al1Cl1O1,2100.0,82.958
Al1Cl1O1,2000.0,82.885
Al1Cl1O1,1900.0,82.77
Al1Cl1O1,1800.0,82.62
Al1Cl1O1,1700.0,82.435
Al1Cl1O1,1600.0,82.21600000000001
Al1Cl1O1,1500.0,81.961
Al1Cl1O1,1400.0,81.672
Al1Cl1O1,1300.0,81.243
Al1Cl1O1,1200.0,80.709
Al1Cl1O1,1100.0,80.04
Al1Cl1O1,1000.0,79.245
Al1Cl1O1,900.0,78.168
Al1Cl1O1,800.0,76.86
Al1Cl1O1,700.0,74.977
Al1Cl1O1,600.0,72.634
Al1Cl1O1,500.0,69.203
Al1Cl1O1,400.0,64.308
Al1Cl1O1,300.0,57.111999999999995
Cl1H4N1O4,1400.0,347.066
Cl1H4N1O4,1300.0,333.816
Cl1H4N1O4,1200.0,317.98400000000004
Cl1H4N1O4,1100.0,299.569
Cl1H4N1O4,1000.0,278.57099999999997
Cl1H4N1O4,900.0,258.45599999999996
Cl1H4N1O4,800.0,238.07
Cl1H4N1O4,700.0,217.81900000000002
Cl1H4N1O4,600.0,197.56799999999998
Cl1H4N1O4,513.15,171.628
Cl1H4N1O4,513.15,179.99599999999998
Cl1H4N1O4,500.0,168.95
Cl1H4N1O4,400.0,148.69899999999998
Cl1H4N1O4,300.0,128.44899999999998
Cl1H4N1O4,298.0,128.072
Be1F4Li2,1400.0,299.55400000000003
Be1F4Li2,1300.0,284.64
Be1F4Li2,1200.0,269.72900000000004
Be1F4Li2,1100.0,254.81900000000002
Be1F4Li2,1000.0,239.91099999999997
Be1F4Li2,900.0,225.00400000000002
Be1F4Li2,800.0,210.1
Be1F4Li2,732.2,199.995
Be1F4Li2,700.0,195.18400000000003
Be1F4Li2,600.0,180.247
Be1F4Li2,500.0,165.352
Be1F4Li2,400.0,150.457
Be1F4Li2,300.0,135.52
Be1F4Li2,298.0,135.269
C1Mg1O3,900.0,127.61200000000001
C1Mg1O3,800.0,122.256
C1Mg1O3,700.0,116.23200000000001
C1Mg1O3,600.0,109.035
C1Mg1O3,500.0,100.061
C1Mg1O3,400.0,89.855
C1Mg1O3,300.0,76.501
C1Mg1O3,298.0,76.21
Br1H4N1,1400.0,174.264
Br1H4N1,1300.0,168.127
Br1H4N1,1200.0,161.502
Br1H4N1,1100.0,154.102
Br1H4N1,1000.0,146.02200000000002
Br1H4N1,900.0,136.817
Br1H4N1,800.0,126.775
Br1H4N1,700.0,115.06
Br1H4N1,600.0,102.42399999999999
Br1H4N1,500.0,87.195
Br1H4N1,411.0,92.844
Br1H4N1,411.0,72.867
Br1H4N1,400.0,92.71700000000001
Br1H4N1,300.0,88.89299999999999
Br1H4N1,298.0,88.676
Ca1I2,1400.0,98.91
Ca1I2,1300.0,96.943
Ca1I2,1200.0,94.977
Ca1I2,1100.0,93.0
Ca1I2,1052.0,92.04799999999999
Ca1I2,1000.0,91.00200000000001
Ca1I2,900.0,89.036
Ca1I2,800.0,87.069
Ca1I2,700.0,85.103
Ca1I2,600.0,83.13600000000001
Ca1I2,500.0,81.17
Ca1I2,400.0,79.161
Ca1I2,300.0,77.195
Ca1I2,298.0,77.157
Al1F6Li3,298.0,202.50599999999997
Al1F6Li3,1500.0,357.73199999999997
Al1F6Li3,1400.0,347.272
Al1F6Li3,1300.0,336.81199999999995
Al1F6Li3,1200.0,326.35200000000003
Al1F6Li3,1100.0,315.892
Al1F6Li3,1058.0,311.499
Al1F6Li3,1000.0,305.432
Al1F6Li3,978.0,303.131
Al1F6Li3,978.0,303.131
Al1F6Li3,900.0,294.972
Al1F6Li3,848.0,289.533
Al1F6Li3,848.0,289.533
Al1F6Li3,800.0,284.512
Al1F6Li3,748.0,279.073
Al1F6Li3,748.0,279.073
Al1F6Li3,700.0,274.052
Al1F6Li3,600.0,262.295
Al1F6Li3,500.0,248.111
Al1F6Li3,400.0,229.86900000000003
Al1F6Li3,300.0,203.13299999999998
Br4Mo1,900.0,144.4
Br4Mo1,800.0,142.674
Br4Mo1,700.0,140.844
Br4Mo1,600.0,138.909
Br4Mo1,500.0,136.817
Br4Mo1,400.0,135.143
Br4Mo1,300.0,133.093
Br4Mo1,298.0,133.05100000000002
Ba1,298.0,28.096
Ba1,1400.0,39.066
Ba1,1300.0,39.066
Ba1,1200.0,39.066
Ba1,1100.0,39.066
Ba1,1000.0,39.066
Ba1,1000.0,39.066
Ba1,900.0,39.066
Ba1,800.0,39.066
Ba1,768.13,48.103
Ba1,768.13,39.066
Ba1,700.0,42.363
Ba1,600.0,33.941
Ba1,582.53,54.4
Ba1,582.53,32.468
Ba1,500.0,43.744
Ba1,450.0,38.031
Ba1,400.0,33.229
Ba1,350.0,29.898000000000003
Ba1,300.0,28.142
Br4Ti1,1400.0,133.779
Br4Ti1,1300.0,133.779
Br4Ti1,1200.0,133.779
Br4Ti1,1100.0,133.779
Br4Ti1,1000.0,133.779
Br4Ti1,900.0,133.779
Br4Ti1,800.0,133.779
Br4Ti1,700.0,133.779
Br4Ti1,600.0,133.779
Br4Ti1,500.0,133.779
Br4Ti1,400.0,133.779
Br4Ti1,311.4,133.779
Br4Ti1,300.0,131.815
Br4Ti1,298.0,131.503
Ba1Br2,298.0,77.015
Ba1Br2,1400.0,100.839
Ba1Br2,1300.0,98.675
Ba1Br2,1200.0,96.512
Ba1Br2,1130.0,95.00200000000001
Ba1Br2,1100.0,94.353
Ba1Br2,1000.0,92.19
Ba1Br2,900.0,90.027
Ba1Br2,800.0,87.86399999999999
Ba1Br2,700.0,85.70100000000001
Ba1Br2,600.0,83.542
Ba1Br2,500.0,81.37899999999999
Ba1Br2,400.0,79.21600000000001
Ba1Br2,300.0,77.053
Be1O4S1,298.0,85.697
Be1O4S1,2200.0,200.832
Be1O4S1,2100.0,200.832
Be1O4S1,2000.0,200.832
Be1O4S1,1900.0,200.832
Be1O4S1,1800.0,200.832
Be1O4S1,1700.0,200.706
Be1O4S1,1600.0,200.00400000000002
Be1O4S1,1500.0,198.65599999999998
Be1O4S1,1400.0,196.581
Be1O4S1,1300.0,193.543
Be1O4S1,1200.0,189.209
Be1O4S1,1100.0,183.088
Be1O4S1,1000.0,174.43099999999998
Be1O4S1,900.0,162.046
Be1O4S1,800.0,149.787
Be1O4S1,700.0,137.988
Be1O4S1,600.0,126.81700000000001
Be1O4S1,500.0,116.35700000000001
Be1O4S1,400.0,103.88
Be1O4S1,300.0,86.111
Ba1F2,298.0,72.204
Ba1F2,1900.0,107.654
Ba1F2,1800.0,107.654
Ba1F2,1700.0,107.654
Ba1F2,1641.0,107.654
Ba1F2,1600.0,107.654
Ba1F2,1500.0,107.654
Ba1F2,1480.0,107.104
Ba1F2,1480.0,107.654
Ba1F2,1400.0,114.014
Ba1F2,1300.0,137.654
Ba1F2,1240.0,194.91400000000002
Ba1F2,1240.0,194.713
Ba1F2,1200.0,130.541
Ba1F2,1100.0,104.182
Ba1F2,1000.0,94.55799999999999
Ba1F2,900.0,88.70100000000001
Ba1F2,800.0,84.935
Ba1F2,700.0,82.383
Ba1F2,600.0,80.333
Ba1F2,500.0,78.45
Ba1F2,400.0,75.94
Ba1F2,300.0,72.304
Ba1I2,298.0,77.488
Ba1I2,2700.0,112.96799999999999
Ba1I2,2600.0,112.96799999999999
Ba1I2,2500.0,112.96799999999999
Ba1I2,2400.0,112.96799999999999
Ba1I2,2300.0,112.96799999999999
Ba1I2,2200.0,112.96799999999999
Ba1I2,2100.0,112.96799999999999
Ba1I2,2000.0,112.96799999999999
Ba1I2,1900.0,112.96799999999999
Ba1I2,1800.0,112.96799999999999
Ba1I2,1700.0,112.96799999999999
Ba1I2,1600.0,112.96799999999999
Ba1I2,1500.0,112.96799999999999
Ba1I2,1400.0,112.96799999999999
Ba1I2,1300.0,112.96799999999999
Ba1I2,1200.0,112.96799999999999
Ba1I2,1100.0,112.96799999999999
Ba1I2,1000.0,112.96799999999999
Ba1I2,984.0,91.211
Ba1I2,984.0,112.96799999999999
Ba1I2,900.0,89.538
Ba1I2,800.0,87.529
Ba1I2,700.0,85.521
Ba1I2,600.0,83.51299999999999
Ba1I2,500.0,81.546
Ba1I2,400.0,79.538
Ba1I2,300.0,77.53
Cl2Fe1,1900.0,89.95299999999999
Cl2Fe1,1800.0,89.90700000000001
Cl2Fe1,1700.0,89.81700000000001
Cl2Fe1,1600.0,89.684
Cl2Fe1,1500.0,89.507
Cl2Fe1,1400.0,89.287
Cl2Fe1,1300.0,88.962
Cl2Fe1,1200.0,88.554
Cl2Fe1,1100.0,88.01299999999999
Cl2Fe1,1000.0,87.354
Cl2Fe1,950.0,86.944
Cl2Fe1,900.0,86.50399999999999
Cl2Fe1,800.0,85.508
Cl2Fe1,700.0,84.375
Cl2Fe1,600.0,83.10700000000001
Cl2Fe1,500.0,81.638
Cl2Fe1,400.0,79.668
Cl2Fe1,300.0,76.735
Cl2Fe1,298.0,76.664
C1K1N1,1900.0,66.905
C1K1N1,1800.0,66.865
C1K1N1,1700.0,66.82600000000001
C1K1N1,1600.0,66.78699999999999
C1K1N1,1500.0,66.747
C1K1N1,1400.0,66.708
C1K1N1,1300.0,66.669
C1K1N1,1200.0,66.62899999999999
C1K1N1,1100.0,66.59
C1K1N1,1000.0,66.551
C1K1N1,900.0,66.51100000000001
C1K1N1,895.0,66.509
C1K1N1,800.0,66.471
C1K1N1,700.0,66.431
C1K1N1,600.0,66.392
C1K1N1,500.0,66.354
C1K1N1,400.0,66.316
C1K1N1,300.0,66.383
