element,Atomic_Number,Atomic_Weight,Period,group,families,Metal,Nonmetal,Metalliod,Mendeleev_Number,l_quantum_number,Atomic_Radius,Miracle_Radius_[pm],Covalent_Radius,Zunger_radii_sum,ionic_radius,crystal_radius,Pauling_Electronegativity,MB_electonegativity,Gordy_electonegativity,Mulliken_EN,Allred-Rockow_electronegativity,metallic_valence,number_of_valence_electrons,gilmor_number_of_valence_electron,valence_s,valence_p,valence_d,valence_f,Number_of_unfilled_s_valence_electrons,Number_of_unfilled_p_valence_electrons,Number_of_unfilled_d_valence_electrons,Number_of_unfilled_f_valence_electrons,outer_shell_electrons,1st_ionization_potential_(kJ/mol),polarizability(A^3),Melting_point_(K),Boiling_Point_(K),Density_(g/mL),specific_heat_(J/g_K)_,heat_of_fusion_(kJ/mol)_,heat_of_vaporization_(kJ/mol)_,thermal_conductivity_(W/(m_K))_,heat_atomization(kJ/mol),Cohesive_energy
Na,11,22.989768,3,1,1,1,0,0,2,0,1.9,180,1.54,2.65,1.8,1.16,0.93,0.89,2.5378,2.85,0.869,1,1,1,1,0,0,0,1,6,10,14,1,496,23.6,370.95,1156.15,0.971,1.23,2.598,96.96,141,109,1.113
Mg,12,24.305,3,2,2,1,0,0,68,0,1.45,160,1.3,2.03,1.5,0.86,1.31,1.31,2.9745,3.75,1.293,2,2,2,2,0,0,0,0,6,10,14,2,738,10.6,922.15,1363.15,1.74,1.02,8.954,127.4,156,148,1.51
Al,13,26.981539,3,13,5,1,0,0,73,1,1.18,141,1.18,1.675,1.25,0.53,1.61,1.64,3.5237,3.23,1.613,3,3,3,2,1,0,0,0,5,10,14,3,578,8.3,933.15,2740.15,2.7,0.9,10.79,293.4,237,326,3.39
Si,14,28.0855,3,14,6,0,1,0,78,1,1.11,110,1.11,1.42,1.1,0.4,1.9,1.98,4.1852,4.77,1.916,4,4,4,2,2,0,0,0,4,10,14,4,787,5.4,1683.15,2628.15,2.33,0.71,50.55,384.22,148,452,4.63
P,15,30.973762,3,15,7,0,1,0,83,1,0.98,102,1.06,1.24,1,0.31,2.19,2.32,4.9591,5.62,2.253,3,5,5,2,3,0,0,0,3,10,14,5,1012,3.6,317.25,553.15,1.82,0.77,0.657,12.129,0.235,315,3.43
S,16,32.066,3,16,7,0,1,0,88,1,0.88,103,1.02,1.1,1,0.43,2.58,2.65,5.8458,6.22,2.589,2,6,6,2,4,0,0,0,2,10,14,6,1000,2.9,385.95,717.85,2.07,0.71,1.7175,9.8,0.269,279,2.85
Cl,17,35.4527,3,17,8,0,1,0,94,1,0.79,,0.99,1.01,1,1.67,3.16,2.98,6.8446,8.3,2.869,0,7,7,2,5,0,0,0,1,10,14,7,1251,2.2,172.15,238.55,0.00321,0.48,3.23,10.2,0.0089,121,1.4
Ar,18,39.948,3,18,9,0,1,0,100,1,0.71,,0.97,0,0.71,0,0,0,7.9552,0,3.242,0,0,0,0,0,0,0,2,6,10,14,0,1521,1.586,83.95,87.45,0.00178,0.52,1.188,6.447,0.01772,0,0.08
K,19,39.0983,4,1,1,1,0,0,3,0,2.43,230,1.96,3.69,2.2,1.52,0.82,0.8,2.7882,2.42,0.734,1,1,1,1,0,0,0,1,6,10,14,1,419,43.4,336.4,1033.15,0.86,0.75,2.334,79.87,102.4,90,0.934
Ca,20,40.078,4,2,2,1,0,0,7,0,1.94,201,1.74,3,1.8,1.14,1,1.17,3.0128,2.2,1.034,2,2,2,2,0,0,0,0,6,10,14,2,590,22.8,1112.15,1757.15,1.55,0.63,8.54,153.3,200,178,1.84
Sc,21,44.95591,4,3,3,1,0,0,11,2,1.84,162,1.44,2.75,1.6,0.89,1.36,1.5,3.0728,3.34,1.19,3,3,1,2,0,1,0,0,6,9,14,2,633,17.8,1814.15,3105.15,2.99,0.6,14.1,314.2,15.8,378,3.9
Ti,22,47.88,4,4,4,1,0,0,43,2,1.76,142,1.36,2.58,1.4,0.75,1.54,1.86,3.1359,3.45,1.38,4,4,2,2,0,2,0,0,6,8,14,2,659,14.6,1933.15,3560.15,4.54,0.52,15.45,421,21.9,470,4.85
V,23,50.9415,4,5,4,1,0,0,46,2,1.71,134,1.25,2.43,1.35,0.68,1.63,2.22,3.2021,3.6,1.53,5,5,3,2,0,3,0,0,6,7,14,2,651,12.4,2163.15,3653.15,6.11,0.49,20.9,453,30.7,514,5.31
Cr,24,51.9961,4,6,4,1,0,0,49,2,1.66,130,1.27,2.44,1.4,0.76,1.66,2,3.2713,3.72,1.65,5.78,6,4,1,0,5,0,1,6,5,14,1,653,11.6,2130.15,2945.15,7.19,0.45,16.9,344.3,93.7,397,4.1
Mn,25,54.93805,4,7,4,1,0,0,52,2,1.61,132,1.39,2.22,1.4,0.81,1.55,2.04,3.3437,3.72,1.75,5.78,7,5,2,0,5,0,0,6,5,14,2,717,9.4,1517.15,2235.15,7.43,0.48,12.05,226,7.82,281,2.92
Fe,26,55.847,4,8,4,1,0,0,55,2,1.56,125,1.25,2.11,1.4,0.69,1.83,1.67,3.419,4.06,1.8,5.78,8,5,2,0,6,0,0,6,4,14,2,762,8.4,1808.15,3023.15,7.86,0.44,13.8,349.6,80.2,418,4.28
Co,27,58.9332,4,9,4,1,0,0,58,2,1.52,125,1.26,2.02,1.35,0.54,1.88,1.72,3.4976,4.3,1.84,5.78,9,4,2,0,7,0,0,6,3,14,2,760,7.5,1768.15,3143.15,8.9,0.42,16.19,376.5,100,425,4.39
Ni,28,58.6934,4,10,4,1,0,0,61,2,1.49,126,1.21,2.18,1.35,0.7,1.91,1.76,3.5791,4.4,1.88,5.78,10,3,2,0,8,0,0,6,2,14,2,737,6.8,1726.15,3003.15,8.9,0.44,17.47,370.4,90.7,430,4.44
Cu,29,63.546,4,11,4,1,0,0,64,2,1.45,126,1.38,2.04,1.35,0.71,1.9,1.08,3.6637,4.48,1.85,5.44,11,2,1,0,10,0,1,6,0,14,1,745,6.7,1356.15,2840.15,8.96,0.38,13.05,300.3,401,338,3.49
Zn,30,65.39,4,12,4,1,0,0,69,2,1.42,140,1.31,1.88,1.35,0.74,1.65,1.44,3.7515,4.45,1.59,4.44,12,1,2,0,10,0,0,6,0,14,2,906,6.4,692.75,1179.15,7.13,0.39,7.322,115.3,116,131,1.35
Ga,31,69.723,4,13,5,1,0,0,74,1,1.36,134,1.26,1.695,1.3,0.76,1.81,1.7,4.1672,3.2,1.756,3.44,3,3,2,1,0,0,0,5,10,14,3,579,8.1,302.95,2676.15,5.9,0.37,5.59,258.7,40.6,286,2.81
Ge,32,72.61,4,14,6,0,0,1,79,1,1.25,114,1.22,1.56,1.25,0.53,2.01,1.99,4.6406,4.6,1.994,4,4,4,2,2,0,0,0,4,10,14,4,762,6.1,1220.55,3103.15,5.32,0.32,36.94,330.9,59.9,377,3.85
As,33,74.92159,4,15,6,0,0,1,84,1,1.14,115,1.19,1.415,1.15,0.72,2.18,2.27,5.172,5.3,2.211,3,5,5,2,3,0,0,0,3,10,14,5,947,4.3,1090.15,890.15,5.73,0.33,27.7,34.76,50,302,2.96
Se,34,78.96,4,16,7,0,1,0,89,1,1.03,118,1.16,1.285,1.15,0.56,2.55,2.54,5.761,5.89,2.434,2,6,6,2,4,0,0,0,2,10,14,6,941,3.8,490.15,958.15,4.79,0.32,6.694,37.7,0.52,227,2.46
Br,35,79.904,4,17,8,0,1,0,95,1,0.94,,1.14,1.2,1.15,1.82,2.96,2.83,6.4079,7.59,2.685,0,7,7,2,5,0,0,0,1,10,14,7,1140,3.1,265.95,331.95,3.12,0.473,5.286,15.438,0.122,112,1.22
Kr,36,83.8,4,18,9,0,1,0,101,1,0.88,,1.1,0,0.88,,3,,7.1127,,2.966,0,0,0,0,0,0,0,2,6,10,14,0,1351,2.5,116.15,121.15,0.00374,0.248,1.638,9.029,0.00949,0,0.116
Rb,37,85.4678,5,1,1,1,0,0,4,0,2.65,244,2.11,4.1,2.35,1.66,0.82,0.8,3.1886,2.34,0.706,1,1,1,1,0,0,0,1,6,10,14,1,403,47.3,312.05,959.15,1.53,0.363,2.192,72.216,58.2,86,0.852
Sr,38,87.62,5,2,2,1,0,0,8,0,2.19,212,1.92,3.21,2,1.32,0.95,1.13,3.3588,2,0.963,2,2,2,2,0,0,0,0,6,10,14,2,549,27.6,1042.15,1657.15,2.54,0.3,8.3,144,35.3,164,1.72
Y,39,88.90585,5,3,3,1,0,0,12,2,2.12,179,1.62,2.94,1.85,1.04,1.22,1.41,3.4043,3.19,1.12,3,3,1,2,0,1,0,0,6,9,14,2,600,22.7,1796.15,3610.15,4.47,0.3,11.4,363,17.2,423,4.37
Zr,40,91.224,5,4,4,1,0,0,44,2,2.06,158,1.48,2.825,1.55,0.86,1.33,1.7,3.4521,3.64,1.32,4,4,2,2,0,2,0,0,6,8,14,2,640,17.9,2125.15,4650.15,6.51,0.27,16.9,582,22.7,609,6.25
Nb,41,92.90638,5,5,4,1,0,0,47,2,1.98,143,1.37,2.76,1.45,0.78,1.6,2.03,3.5023,4,1.41,5,5,3,1,0,4,0,1,6,6,14,1,652,15.7,2741.15,5015.15,8.57,0.26,26.4,682,53.7,726,7.57
Mo,42,95.94,5,6,4,1,0,0,50,2,1.9,139,1.45,2.72,1.45,0.79,2.16,1.94,3.5548,3.9,1.47,5.78,6,4,1,0,5,0,1,6,5,14,1,684,12.8,2890.15,4885.15,10.2,0.25,32,598,138,658,6.82
Tc,43,97.9072,5,7,4,1,0,0,53,2,1.83,136,1.56,2.65,1.35,0.79,1.9,2.18,3.6096,4,1.51,5.78,7,5,2,0,5,0,0,6,5,14,2,702,11.4,2445.15,5150.15,11.5,0.21,24,660,50.6,677,6.85
Ru,44,101.07,5,8,4,1,0,0,56,2,1.78,134,1.26,2.605,1.3,0.82,2.2,1.97,3.6668,4.5,1.54,5.78,8,5,1,0,7,0,1,6,3,14,1,710,9.6,2583.15,4173.15,12.4,0.238,24,595,117,643,6.74
Rh,45,102.9055,5,9,4,1,0,0,59,2,1.73,132,1.35,2.52,1.35,0.81,2.28,1.99,3.7262,4.3,1.56,5.78,9,4,1,0,8,0,1,6,2,14,1,720,8.6,2239.15,4000.15,12.4,0.242,21.5,493,150,556,5.75
Pd,46,106.42,5,10,4,1,0,0,62,2,1.69,142,1.31,2.45,1.4,0.78,2.2,2.08,3.788,4.45,1.59,5.78,10,3,0,0,10,0,2,6,0,14,0,804,4.8,1827.15,3413.15,12,0.24,17.6,357,71.8,378,3.89
Ag,47,107.8682,5,11,4,1,0,0,65,0,1.65,144,1.53,2.375,1.6,1.29,1.93,1.07,3.8522,4.44,1.87,5.44,11,2,1,0,10,0,1,6,0,14,1,731,7.9,1235.15,2485.15,10.5,0.235,11.3,250.58,429,284,2.95
Cd,48,112.411,5,12,4,1,0,0,70,0,1.61,157,1.48,2.215,1.55,0.92,1.69,1.4,3.9187,4.33,1.52,4.44,12,1,2,0,10,0,0,6,0,14,2,868,7.2,594.05,1038.15,8.65,0.23,6.192,99.57,96.8,112,1.16
In,49,114.818,5,13,5,1,0,0,75,1,1.56,155,1.44,2.05,1.55,0.94,1.78,1.63,4.2337,3.1,1.656,3.44,3,3,2,1,10,0,0,5,0,14,2,558,9.7,429.75,2353.15,7.31,0.23,3.263,231.5,81.6,243,2.52
Sn,50,118.71,5,14,5,1,0,0,80,1,1.45,155,1.41,1.88,1.45,0.69,1.96,1.88,4.5926,4.3,1.824,4,4,4,2,2,10,0,0,4,0,14,2,709,7.7,505.15,2543.15,7.31,0.227,7.029,295.8,66.6,302,3.14
Sb,51,121.76,5,15,6,0,1,0,85,1,1.33,155,1.38,1.765,1.45,0.9,2.05,2.14,4.9953,4.85,1.984,3,5,5,2,3,10,0,0,3,0,14,2,834,6.6,904.15,2223.15,6.69,0.21,19.87,77.14,24.3,262,2.75
Te,52,127.6,5,16,6,0,1,0,90,1,1.23,140,1.35,1.67,1.4,1.11,2.1,2.38,5.4418,5.49,2.158,2,6,6,2,4,10,0,0,2,0,14,2,869,5.5,722.65,1262.95,6.24,0.2,17.49,52.55,2.35,197,2.19
I,53,126.90447,5,17,8,0,1,0,96,1,1.15,,1.33,1.585,1.4,2.06,2.66,2.76,5.9319,6.76,2.359,0,7,7,2,5,10,0,0,1,0,14,7,1008,5,386.65,457.15,4.93,0.214,7.824,20.752,0.449,107,1.11
Xe,54,131.29,5,18,9,0,1,0,102,1,1.08,,1.3,0,1.08,0.62,2.6,0,6.4662,,2.582,0,0,0,0,0,0,0,2,6,10,14,0,1170,4,161.35,166.05,0.00589,0.158,2.297,12.636,0.00569,0,0.16
Cs,55,132.90543,6,1,1,1,0,0,5,0,2.98,264,2.25,4.31,2.6,1.81,0.79,0.77,4.4326,2.18,0.659,1,1,1,1,0,0,0,1,6,10,14,1,376,59.6,301.55,942.15,1.87,0.24,2.092,67.74,35.9,79,0.804
Ba,56,137.327,6,2,2,1,0,0,9,0,2.53,223,1.98,3.402,2.15,1.49,0.89,1.08,4.4699,2.4,0.881,2,2,2,2,0,0,0,0,6,10,14,2,503,39.7,998.15,1913.15,3.5,0.204,7.75,142,18.4,180,1.9
La,57,138.9055,6,3,3,1,0,0,13,2,1.95,187,1.69,3.08,1.95,1.36,1.1,1.35,4.5168,3.1,1.09,3,3,1,2,0,1,0,0,6,9,14,2,538,31.1,1193.15,3727.15,6.15,0.19,6.2,414,13.5,423,4.47
Ce,58,140.115,6,3,3,1,0,0,15,3,1.85,182,1.65,4.5,1.85,1.15,1.12,1.1,4.5734,3.1,1.09,3.2,3,3,2,0,1,1,0,6,9,13,2,534,29.6,1071.15,3530.15,6.66,0.19,5.46,414,11.4,419,4.32
Pr,59,140.90765,6,3,3,1,0,0,17,3,2.47,183,1.65,4.48,1.85,1.32,1.13,1.1,4.6395,3.1,1.09,3.1,3,3,2,0,0,3,0,6,10,11,2,527,28.2,1204.15,3290.15,6.77,0.19,6.89,296.8,12.5,356,3.7
Nd,60,144.24,6,3,3,1,0,0,19,3,2.06,182,1.84,3.99,1.85,1.3,1.14,1.2,4.7152,3.1,1.09,3.1,3,3,2,0,0,4,0,6,10,10,2,533,31.4,1289.15,3400.15,7,0.19,7.14,273,16.5,328,3.4
Pm,61,144.9127,6,3,3,1,0,0,21,3,2.05,185,1.63,3.99,1.85,1.28,1.13,1.15,4.8006,3.1,1.09,3,3,3,2,0,0,5,0,6,10,9,2,535,30.1,1315.15,3273.15,7.26,0.18,7.88,214,15,301,0
Sm,62,150.36,6,3,3,1,0,0,23,3,2.38,185,1.62,4.14,1.85,1.1,1.17,1.2,4.8955,3.1,1.09,2.8,3,3,2,0,0,6,0,6,10,8,2,545,28.8,1347.15,2067.15,7.52,0.2,8.63,166.4,13.3,207,2.14
Eu,63,151.965,6,3,3,1,0,0,25,3,2.31,196,1.85,3.94,1.85,1.31,1.2,1.15,5.0001,3.1,1.09,2,3,3,2,0,0,7,0,6,10,7,2,547,27.7,1095.15,1802.15,5.24,0.18,9.21,143.5,13.9,178,1.86
Gd,64,157.25,6,3,3,1,0,0,27,3,2.33,176,1.61,3.91,1.8,1.08,1.2,1.1,5.1142,3.1,1.09,3,3,3,2,0,1,7,0,6,9,7,2,593,23.5,1586.15,3546.15,7.9,0.23,10.05,359.4,10.6,398,4.14
Tb,65,158.92534,6,3,3,1,0,0,29,3,2.25,176,1.59,3.89,1.75,1.18,1.2,1.2,5.238,3.1,1.09,3,3,3,2,0,0,9,0,6,10,5,2,569,25.5,1638.15,3503.15,8.23,0.18,10.8,330.9,11.1,389,4.05
Dy,66,162.5,6,3,3,1,0,0,31,3,2.28,175,1.59,3.67,1.75,1.05,1.22,1.15,5.3714,3.1,1.09,3,3,3,2,0,0,10,0,6,10,4,2,573,24.5,1685.15,2840.15,8.55,0.17,11.06,230.1,10.7,291,3.04
Ho,67,164.93032,6,3,3,1,0,0,33,3,2.26,177,1.58,3.65,1.75,1.04,1.23,1.2,5.5143,3.1,1.09,3,3,3,2,0,0,11,0,6,10,3,2,581,23.6,1747.15,2973.15,8.8,0.16,12.2,241,16.2,301,3.14
Er,68,167.26,6,3,3,1,0,0,35,3,2.26,175,1.57,3.63,1.75,1.03,1.24,1.2,5.6669,3.1,1.09,3,3,3,2,0,0,12,0,6,10,2,2,589,22.7,1802.15,3141.15,9.07,0.17,19.9,261,14.3,317,3.29
Tm,69,168.93421,6,3,3,1,0,0,37,3,2.22,175,1.56,3.6,1.75,1.02,1.25,1.2,5.8291,3.1,1.09,3,3,3,2,0,0,13,0,6,10,1,2,597,21.8,1818.15,2223.15,9.32,0.16,16.84,191,16.8,232,2.42
Yb,70,173.04,6,3,3,1,0,0,39,3,2.22,190,1.56,3.59,1.75,1.13,1.1,1.1,6.0009,3.1,1.09,2,3,3,2,0,0,14,0,6,10,0,2,603,21,1092.15,1469.15,6.97,0.15,7.66,128.9,34.9,152,1.6
Lu,71,174.967,6,3,3,1,0,0,41,2,2.17,175,1.6,3.37,1.75,1,1.27,1.2,6.1824,3.1,1.09,3,3,3,2,0,1,14,0,6,9,0,2,524,21.9,1936.15,3675.15,9.84,0.15,18.6,355.9,16.4,427,4.43
Hf,72,178.49,6,4,4,1,0,0,45,2,2.08,158,1.5,2.91,1.55,0.85,1.3,1.73,6.3704,3.8,1.16,4,4,2,2,0,2,14,0,6,8,0,2,659,16.2,2500.15,4873.15,13.3,0.14,24.06,575,23,619,6.44
Ta,73,180.9479,6,5,4,1,0,0,48,2,2,145,1.38,2.79,1.45,0.78,1.5,1.94,6.5738,4.11,1.34,5,5,3,2,0,3,14,0,6,7,0,2,761,13.1,3269.15,5698.15,16.6,0.14,31.6,743,57.5,782,8.1
W,74,183.84,6,6,4,1,0,0,51,2,1.93,135,1.46,2.735,1.35,0.74,2.36,1.79,6.7841,4.4,1.47,5.78,6,4,2,0,4,14,0,6,6,0,2,770,11.1,3683.15,5933.15,19.3,0.13,35.4,824,174,849,8.9
Re,75,186.207,6,7,4,1,0,0,54,2,1.88,137,1.59,2.68,1.35,0.77,1.9,2.06,7.004,4.02,1.6,5.78,7,5,2,0,5,14,0,6,5,0,2,760,9.7,3453.15,5873.15,21,0.13,33.2,715,47.9,770,8.03
Os,76,190.23,6,8,4,1,0,0,57,2,1.85,135,1.28,2.65,1.3,0.77,2.2,1.85,7.2335,4.9,1.65,5.78,8,5,2,0,6,14,0,6,4,0,2,839,8.5,3318.15,5303.15,22.6,0.13,31.8,746,87.6,791,8.17
Ir,77,192.22,6,9,4,1,0,0,60,2,1.8,136,1.37,2.628,1.35,0.77,2.2,1.87,7.4345,5.4,1.68,5.78,9,4,2,0,7,14,0,6,3,0,2,878,7.6,2683.15,4403.15,22.4,0.13,26.1,604,147,665,6.94
Pt,78,195.08,6,10,4,1,0,0,63,2,1.77,139,1.28,2.7,1.35,0.74,2.28,1.91,7.7208,5.6,1.72,5.78,10,3,1,0,9,14,1,6,1,0,1,868,6.5,2045.15,4100.15,21.4,0.13,19.6,510,71.6,565,5.84
Au,79,196.96654,6,11,4,1,0,0,66,2,1.74,143,1.44,2.66,1.35,1.51,2.54,1.19,7.9791,5.77,1.92,5.44,11,2,1,0,10,14,1,6,0,0,1,890,6.1,1337.15,3353.15,19.3,0.128,12.55,334.4,317,366,3.81
Hg,80,200.59,6,12,4,1,0,0,71,2,1.71,152,1.49,2.41,1.5,0.83,2,1.49,8.2469,4.91,1.76,4.44,12,1,2,0,10,14,0,6,0,0,2,1007,5.4,234.25,630.15,13.5,0.139,2.295,59.229,8.34,61,0.67
Tl,81,204.3833,6,13,5,1,0,0,76,1,1.56,172,1.48,2.235,1.9,1.03,1.62,1.69,4.6618,3.2,1.789,3.44,3,3,2,1,10,14,0,5,0,0,3,589,7.6,576.15,1730.15,11.9,0.13,4.142,164.1,46.1,182,1.88
Pb,82,207.2,6,14,5,1,0,0,81,1,1.54,174,1.47,2.09,1.8,1.49,1.87,1.92,4.7404,3.9,1.854,2.44,4,4,2,2,10,14,0,4,0,0,4,716,6.8,600.65,2013.15,11.4,0.13,4.799,177.7,35.3,196,2.03
Bi,83,208.98037,6,15,5,1,0,0,86,1,1.43,162,1.46,1.997,1.6,1.17,2.02,2.14,4.8288,4.69,2.01,3,5,5,2,3,10,14,0,3,0,0,5,703,7.4,544.15,1833.15,9.75,0.12,11.3,104.8,7.87,207,2.18
Th,90,232.0381,7,3,3,1,0,0,16,2,1.8,178,1.65,4.98,1.8,1.19,1.3,1.3,2.8784,3.2,1.11,4,2,2,2,0,2,0,0,6,8,14,2,587,32.1,2023.15,5063.15,11.7,0.12,16.1,514.4,54,576,6.2
U,92,238.0289,7,3,3,1,0,0,20,3,1.75,158,1.42,4.72,1.75,0.87,1.38,1.7,3.3168,3.4,1.22,5.78,3,3,2,0,1,3,0,6,9,11,2,598,27.4,1405.15,4091.15,19,0.12,14,477,27.6,490,5.55
